edition,edition_status,cohort,team_id,team,lambda_md2,card_events,fouls_md2,exp_susp_md2_min,exp_susp_md2_per_foul,rank,teams,match_scope
2014,final,second_knockout_round_teams,43901,Costa Rica,1,11,58,474.568687,8.182219,1,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43935,Belgium,1,5,55,185.932,3.380582,2,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43948,Germany,1,5,74,216.203317,2.921666,3,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43922,Argentina,1,7,62,172.434158,2.781196,4,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43924,Brazil,1,9,83,197.795877,2.383083,5,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43960,Netherlands,1,5,63,134.367061,2.13281,6,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43926,Colombia,1,3,53,62.255667,1.174635,7,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43946,France,1,2,42,45.179289,1.075697,8,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43901,Costa Rica,1.5,11,58,503.068687,8.673598,1,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43935,Belgium,1.5,5,55,185.932,3.380582,2,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43948,Germany,1.5,5,74,216.203317,2.921666,3,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43922,Argentina,1.5,7,62,172.434158,2.781196,4,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43924,Brazil,1.5,9,83,197.795877,2.383083,5,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43960,Netherlands,1.5,5,63,134.367061,2.13281,6,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43926,Colombia,1.5,3,53,62.255667,1.174635,7,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43946,France,1.5,2,42,45.179289,1.075697,8,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43901,Costa Rica,2,11,58,531.568687,9.164977,1,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43935,Belgium,2,5,55,185.932,3.380582,2,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43948,Germany,2,5,74,216.203317,2.921666,3,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43922,Argentina,2,7,62,172.434158,2.781196,4,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43924,Brazil,2,9,83,197.795877,2.383083,5,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43960,Netherlands,2,5,63,134.367061,2.13281,6,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43926,Colombia,2,3,53,62.255667,1.174635,7,8,group_matchday_2_plus_knockout_non_third
2014,final,second_knockout_round_teams,43946,France,2,2,42,45.179289,1.075697,8,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43946,France,1,11,67,303.714286,4.533049,1,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43938,Croatia,1,11,82,346.013889,4.219682,2,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43942,England,1,5,48,174.510145,3.635628,3,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43970,Sweden,1,5,34,110.958889,3.263497,4,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43924,Brazil,1,6,31,98.321111,3.171649,5,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43965,Russia,1,4,55,130.529412,2.373262,6,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43935,Belgium,1,5,57,114.788889,2.01384,7,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43930,Uruguay,1,2,40,55.766667,1.394167,8,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43946,France,1.5,11,67,303.714286,4.533049,1,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43938,Croatia,1.5,11,82,346.013889,4.219682,2,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43942,England,1.5,5,48,174.510145,3.635628,3,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43970,Sweden,1.5,5,34,110.958889,3.263497,4,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43924,Brazil,1.5,6,31,98.321111,3.171649,5,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43965,Russia,1.5,4,55,130.529412,2.373262,6,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43935,Belgium,1.5,5,57,114.788889,2.01384,7,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43930,Uruguay,1.5,2,40,55.766667,1.394167,8,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43946,France,2,11,67,303.714286,4.533049,1,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43938,Croatia,2,11,82,346.013889,4.219682,2,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43942,England,2,5,48,174.510145,3.635628,3,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43970,Sweden,2,5,34,110.958889,3.263497,4,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43924,Brazil,2,6,31,98.321111,3.171649,5,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43965,Russia,2,4,55,130.529412,2.373262,6,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43935,Belgium,2,5,57,114.788889,2.01384,7,8,group_matchday_2_plus_knockout_non_third
2018,final,second_knockout_round_teams,43930,Uruguay,2,2,40,55.766667,1.394167,8,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43946,France,1,8,56,289.585486,5.171169,1,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43924,Brazil,1,4,40,190.5575,4.763937,2,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43938,Croatia,1,8,58,273.985507,4.723888,3,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43922,Argentina,1,15,75,323.863913,4.318186,4,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43960,Netherlands,1,6,52,142.964583,2.749319,5,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43963,Portugal,1,4,31,68.5,2.209677,6,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43872,Morocco,1,6,52,94.323126,1.813906,7,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43942,England,1,1,35,10.511111,0.300317,8,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43946,France,1.5,8,56,289.585486,5.171169,1,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43924,Brazil,1.5,4,40,190.5575,4.763937,2,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43938,Croatia,1.5,8,58,273.985507,4.723888,3,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43922,Argentina,1.5,15,75,323.863913,4.318186,4,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43960,Netherlands,1.5,6,52,142.964583,2.749319,5,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43963,Portugal,1.5,4,31,68.5,2.209677,6,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43872,Morocco,1.5,6,52,94.654705,1.820283,7,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43942,England,1.5,1,35,10.511111,0.300317,8,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43946,France,2,8,56,289.585486,5.171169,1,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43924,Brazil,2,4,40,190.5575,4.763937,2,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43938,Croatia,2,8,58,273.985507,4.723888,3,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43922,Argentina,2,15,75,323.863913,4.318186,4,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43960,Netherlands,2,6,52,142.964583,2.749319,5,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43963,Portugal,2,4,31,68.5,2.209677,6,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43872,Morocco,2,6,52,94.986284,1.826659,7,8,group_matchday_2_plus_knockout_non_third
2022,final,second_knockout_round_teams,43942,England,2,1,35,10.511111,0.300317,8,8,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43872,Morocco,1,7,50,321.296491,6.42593,1,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43924,Brazil,1,4,24,152.631111,6.35963,2,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43942,England,1,7,39,247.071848,6.335176,3,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43899,Canada,1,7,49,256.333333,5.231293,4,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43921,USA,1,6,30,153.308302,5.110277,5,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43971,Switzerland,1,6,57,267.980529,4.701413,6,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43928,Paraguay,1,4,40,182.192935,4.554823,7,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43926,Colombia,1,6,47,188.3875,4.008245,8,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43963,Portugal,1,4,29,109.688889,3.782375,9,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43855,Egypt,1,6,33,110.362085,3.344306,10,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43935,Belgium,1,5,56,136.598246,2.439254,11,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43946,France,1,3,43,59.066667,1.373643,12,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43969,Spain,1,3,44,60.387037,1.372433,13,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43961,Norway,1,2,36,34.245614,0.951267,14,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43911,Mexico,1,2,33,28.817778,0.873266,15,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43922,Argentina,1,6,53,40.267023,0.759755,16,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43942,England,1.5,7,39,254.478825,6.525098,1,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43872,Morocco,1.5,7,50,321.296491,6.42593,2,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43924,Brazil,1.5,4,24,152.631111,6.35963,3,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43921,USA,1.5,6,30,167.096038,5.569868,4,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43899,Canada,1.5,7,49,256.333333,5.231293,5,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43971,Switzerland,1.5,6,57,292.224189,5.12674,6,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43928,Paraguay,1.5,4,40,203.258152,5.081454,7,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43926,Colombia,1.5,6,47,188.3875,4.008245,8,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43963,Portugal,1.5,4,29,109.688889,3.782375,9,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43855,Egypt,1.5,6,33,110.362085,3.344306,10,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43935,Belgium,1.5,5,56,147.650877,2.636623,11,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43946,France,1.5,3,43,59.066667,1.373643,12,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43969,Spain,1.5,3,44,60.387037,1.372433,13,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43961,Norway,1.5,2,36,34.245614,0.951267,14,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43911,Mexico,1.5,2,33,28.817778,0.873266,15,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43922,Argentina,1.5,6,53,40.267023,0.759755,16,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43942,England,2,7,39,261.885802,6.715021,1,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43872,Morocco,2,7,50,321.296491,6.42593,2,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43924,Brazil,2,4,24,152.631111,6.35963,3,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43921,USA,2,6,30,180.883774,6.029459,4,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43928,Paraguay,2,4,40,224.32337,5.608084,5,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43971,Switzerland,2,6,57,316.467848,5.552068,6,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43899,Canada,2,7,49,256.333333,5.231293,7,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43926,Colombia,2,6,47,188.3875,4.008245,8,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43963,Portugal,2,4,29,109.688889,3.782375,9,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43855,Egypt,2,6,33,110.362085,3.344306,10,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43935,Belgium,2,5,56,158.703509,2.833991,11,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43946,France,2,3,43,59.066667,1.373643,12,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43969,Spain,2,3,44,60.387037,1.372433,13,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43961,Norway,2,2,36,34.245614,0.951267,14,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43911,Mexico,2,2,33,28.817778,0.873266,15,16,group_matchday_2_plus_knockout_non_third
2026,provisional_M100,second_knockout_round_teams,43922,Argentina,2,6,53,40.267023,0.759755,16,16,group_matchday_2_plus_knockout_non_third
