suspension_id,edition,team_id,team,player_id,player,trigger_type,trigger_card_id,trigger_match_number,trigger_match_id,trigger_stage,service_match_number,service_match_id,service_stage,service_nominal_minutes,service_status,lineup_status,rule_source_url,lineup_source_url,lineup_source_archive,audit_note,decision_type,decision_status,decision_source_url,decision_source_archive,decision_note
2014-external-43926-200219-service-M5,2014,43926,Colombia,200219,Fredy GUARIN,external,,,,,5,300186471,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186471?language=en,data/raw/2014/fifa/live/m005_300186471.json,The sourced service match is confirmed by an absent official lineup record.,carry_in_suspension,served,https://www.eltiempo.com/archivo/documento/CMS-13551137,data/raw/manual/sanction-decisions.csv,FIFA announced a one-match suspension carried from Colombia's final qualifier into its opening World Cup match
2014-007-207924-dismissal-service-M23,2014,43930,Uruguay,286481,M. PEREIRA,dismissal,2014-007-207924,7,300186489,group,23,300186486,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186486?language=en,data/raw/2014/fifa/live/m023_300186486.json,Next observed official lineup records the player as absent.,,,,,
2014-010-207985-dismissal-service-M26,2014,43909,Honduras,209827,W. Palacios,dismissal,2014-010-207985,10,300186496,group,26,300186463,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186463?language=en,data/raw/2014/fifa/live/m026_300186463.json,Next observed official lineup records the player as absent.,,,,,
2014-013-208037-dismissal-service-M30,2014,43963,Portugal,275931,Pepe,dismissal,2014-013-208037,13,300186475,group,30,300186483,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186483?language=en,data/raw/2014/fifa/live/m030_300186483.json,Next observed official lineup records the player as absent.,,,,,
2014-018-208174-dismissal-service-M33,2014,43849,Cameroon,200261,Alexandre SONG,dismissal,2014-018-208174,18,300186453,group,33,300186472,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186472?language=en,data/raw/2014/fifa/live/m033_300186472.json,Next observed official lineup records the player as absent.,,,,,
2014-020-208139-accumulation-service-M35,2014,43976,Australia,213001,CAHILL,accumulation,2014-020-208139,20,300186478,group,35,300186467,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186467?language=en,data/raw/2014/fifa/live/m035_300186467.json,Next observed official lineup records the player as absent.,,,,,
2014-020-208142-accumulation-service-M36,2014,43960,Netherlands,217315,Robin VAN PERSIE,accumulation,2014-020-208142,20,300186478,group,36,300186470,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186470?language=en,data/raw/2014/fifa/live/m036_300186470.json,Next observed official lineup records the player as absent.,,,,,
2014-021-208199-accumulation-service-M38,2014,43854,Côte d'Ivoire,176971,Didier ZOKORA,accumulation,2014-021-208199,21,300186468,group,38,300186455,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186455?language=en,data/raw/2014/fifa/live/m038_300186455.json,Next observed official lineup records the player as absent.,,,,,
2014-022-208235-dismissal-service-M38,2014,43949,Greece,214887,KATSOURANIS,dismissal,2014-022-208235,22,300186454,group,38,300186455,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186455?language=en,data/raw/2014/fifa/live/m038_300186455.json,Next observed official lineup records the player as absent.,,,,,
2014-025-208287-accumulation-service-M42,2014,43946,France,358013,Cabaye,accumulation,2014-025-208287,25,300186514,group,42,300186515,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186515?language=en,data/raw/2014/fifa/live/m042_300186515.json,Next observed official lineup records the player as absent.,,,,,
2014-029-208349-accumulation-service-M46,2014,43860,Ghana,183000,Sulley MUNTARI,accumulation,2014-029-208349,29,300186493,group,46,300186476,group,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255931/300186476?language=en,data/raw/2014/fifa/live/m046_300186476.json,Next observed official lineup records the player as absent.,,,,,
2014-034-208494-accumulation-service-M51,2014,43911,Mexico,379264,Vázquez,accumulation,2014-034-208494,34,300186452,group,51,300186508,round_of_16,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186508?language=en,data/raw/2014/fifa/live/m051_300186508.json,Next observed official lineup records the player as absent.,,,,,
2014-047-208708-dismissal-service-M56,2014,43935,Belgium,290824,Steven DEFOUR,dismissal,2014-047-208708,47,300186480,group,56,300186497,round_of_16,120,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255951/300186497?language=en,data/raw/2014/fifa/live/m056_300186497.json,Next observed official lineup records the player as absent.,,,,,
2014-049-208752-accumulation-service-M57,2014,43924,Brazil,367918,Luiz Gustavo,accumulation,2014-049-208752,49,300186487,round_of_16,57,300186461,quarter_final,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255953/300186461?language=en,data/raw/2014/fifa/live/m057_300186461.json,Next observed official lineup records the player as absent.,,,,,
2014-052-208823-dismissal-service-M59,2014,43901,Costa Rica,312987,O. DUARTE,dismissal,2014-052-208823,52,300186459,round_of_16,59,300186488,quarter_final,120,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255953/300186488?language=en,data/raw/2014/fifa/live/m059_300186488.json,Next observed official lineup records the player as absent.,,,,,
2014-055-208889-accumulation-service-M60,2014,43922,Argentina,318688,M. Rojo,accumulation,2014-055-208889,55,300186503,round_of_16,60,300186504,quarter_final,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255953/300186504?language=en,data/raw/2014/fifa/live/m060_300186504.json,Next observed official lineup records the player as absent.,,,,,
2014-057-208946-accumulation-service-M61,2014,43924,Brazil,289964,T. SILVA,accumulation,2014-057-208946,57,300186461,quarter_final,61,300186474,semi_final,90,served,absent,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,https://api.fifa.com/api/v3/live/football/17/251164/255955/300186474?language=en,data/raw/2014/fifa/live/m061_300186474.json,Next observed official lineup records the player as absent.,,,,,
2014-059-208989-accumulation-pending,2014,43901,Costa Rica,268821,G. GONZALEZ,accumulation,2014-059-208989,59,300186488,quarter_final,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-051-208811-accumulation-pending,2014,43911,Mexico,178119,R. MÁRQUEZ,accumulation,2014-051-208811,51,300186508,round_of_16,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-051-208805-accumulation-pending,2014,43911,Mexico,289195,Aguilar,accumulation,2014-051-208805,51,300186508,round_of_16,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-049-208748-accumulation-pending,2014,43925,Chile,349582,Silva,accumulation,2014-049-208748,49,300186487,round_of_16,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-049-208745-accumulation-pending,2014,43925,Chile,349592,E. Mena,accumulation,2014-049-208745,49,300186487,round_of_16,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-042-208633-dismissal-pending,2014,43927,Ecuador,202544,A. Valencia,dismissal,2014-042-208633,42,300186515,group,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-050-208787-accumulation-pending,2014,43930,Uruguay,239433,Diego LUGANO,accumulation,2014-050-208787,50,300186491,round_of_16,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-060-208972-accumulation-pending,2014,43935,Belgium,290864,ALDERWEIRELD,accumulation,2014-060-208972,60,300186504,quarter_final,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-034-208507-dismissal-pending,2014,43938,Croatia,369058,REBIĆ,dismissal,2014-034-208507,34,300186452,group,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-039-208542-dismissal-pending,2014,43954,Italy,298664,Marchisio,dismissal,2014-039-208542,39,300186465,group,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-039-208536-accumulation-pending,2014,43954,Italy,301059,M. Balotelli,accumulation,2014-039-208536,39,300186465,group,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2014-035-208462-accumulation-pending,2014,43976,Australia,197514,JEDINAK,accumulation,2014-035-208462,35,300186467,group,,,,,pending,,https://www.fifa.com/en/tournaments/mens/worldcup/canadamexicousa2026/articles/yellow-cards-reset-group-stage-quarter-final,,,No later observed team match within the edition cutoff.,,,,,
2018-016-17056800000070-dismissal-service-M31,2018,43926,Colombia,280487,C. SANCHEZ,dismissal,2018-016-17056800000070,16,300331550,group,31,300331508,group,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275073/300331508?language=en,data/raw/2018/fifa/live/m031_300331508.json,Next observed official lineup records the player as absent.,,,,,
2018-022-17054000000590-accumulation-service-M37,2018,43941,Denmark,336133,YURARY,accumulation,2018-022-17054000000590,22,300331518,group,37,300331512,group,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275073/300331512?language=en,data/raw/2018/fifa/live/m037_300331512.json,Next observed official lineup records the player as absent.,,,,,
2018-027-17055700001234-dismissal-service-M43,2018,43948,Germany,299442,BOATENG,dismissal,2018-027-17055700001234,27,300331501,group,43,300331532,group,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275073/300331532?language=en,data/raw/2018/fifa/live/m043_300331532.json,Next observed official lineup records the player as absent.,,,,,
2018-030-17056400000115-accumulation-service-M46,2018,43914,Panama,267700,COOPER,accumulation,2018-030-17056400000115,30,300331546,group,46,300331520,group,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275073/300331520?language=en,data/raw/2018/fifa/live/m046_300331520.json,Next observed official lineup records the player as absent.,,,,,
2018-030-17056400001019-accumulation-service-M46,2018,43914,Panama,385031,MURILLO,accumulation,2018-030-17056400001019,30,300331546,group,46,300331520,group,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275073/300331520?language=en,data/raw/2018/fifa/live/m046_300331520.json,Next observed official lineup records the player as absent.,,,,,
2018-033-17052900000466-dismissal-service-M51,2018,43965,Russia,375357,SMOLNIKOV,dismissal,2018-033-17052900000466,33,300331516,group,51,300331517,round_of_16,120,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275093/300331517?language=en,data/raw/2018/fifa/live/m051_300331517.json,Next observed official lineup records the player as absent.,,,,,
2018-044-17055900000847-accumulation-service-M53,2018,43911,Mexico,238112,H. MORENO,accumulation,2018-044-17055900000847,44,300331548,group,53,300331535,round_of_16,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275093/300331535?language=en,data/raw/2018/fifa/live/m053_300331535.json,Next observed official lineup records the player as absent.,,,,,
2018-044-17055900000366-accumulation-service-M55,2018,43970,Sweden,214675,LARSSON,accumulation,2018-044-17055900000366,44,300331548,group,55,300331514,round_of_16,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275093/300331514?language=en,data/raw/2018/fifa/live/m055_300331514.json,Next observed official lineup records the player as absent.,,,,,
2018-042-17055400000562-accumulation-service-M55,2018,43971,Switzerland,196605,LICHTSTEINER,accumulation,2018-042-17055400000562,42,300331534,group,55,300331514,round_of_16,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275093/300331514?language=en,data/raw/2018/fifa/live/m055_300331514.json,Next observed official lineup records the player as absent.,,,,,
2018-042-17055400001310-accumulation-service-M55,2018,43971,Switzerland,356411,SCHÄR,accumulation,2018-042-17055400001310,42,300331534,group,55,300331514,round_of_16,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275093/300331514?language=en,data/raw/2018/fifa/live/m055_300331514.json,Next observed official lineup records the player as absent.,,,,,
2018-050-17057700001021-accumulation-service-M57,2018,43946,France,358014,MATUIDI,accumulation,2018-050-17057700001021,50,300331537,round_of_16,57,300331543,quarter_final,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275095/300331543?language=en,data/raw/2018/fifa/live/m057_300331543.json,Next observed official lineup records the player as absent.,,,,,
2018-053-17058100000888-accumulation-service-M58,2018,43924,Brazil,308386,CASEMIRO,accumulation,2018-053-17058100000888,53,300331535,round_of_16,58,300331538,quarter_final,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275095/300331538?language=en,data/raw/2018/fifa/live/m058_300331538.json,Next observed official lineup records the player as absent.,,,,,
2018-055-17058300000483-accumulation-service-M60,2018,43970,Sweden,300251,LUSTIG,accumulation,2018-055-17058300000483,55,300331514,round_of_16,60,300331541,quarter_final,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275095/300331541?language=en,data/raw/2018/fifa/live/m060_300331541.json,Next observed official lineup records the player as absent.,,,,,
2018-058-17058600001112-accumulation-service-M61,2018,43935,Belgium,358122,MEUNIER,accumulation,2018-058-17058600001112,58,300331538,quarter_final,61,300331531,semi_final,90,served,absent,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,https://api.fifa.com/api/v3/live/football/17/254645/275097/300331531?language=en,data/raw/2018/fifa/live/m061_300331531.json,Next observed official lineup records the player as absent.,,,,,
2018-041-17055300000831-accumulation-pending,2018,1902465,Serbia,310082,MATIĆ,accumulation,2018-041-17055300000831,41,300331521,group,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-041-17055300001184-accumulation-pending,2018,1902465,Serbia,370456,MITROVIĆ,accumulation,2018-041-17055300001184,41,300331521,group,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-043-17056000000151-accumulation-pending,2018,43822,Korea Republic,356534,W Y JUNG,accumulation,2018-043-17056000000151,43,300331532,group,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-036-17053500000320-accumulation-pending,2018,43872,Morocco,232674,EL AHMADI,accumulation,2018-036-17053500000320,36,300340184,group,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-048-17057100000709-accumulation-pending,2018,43879,Senegal,336000,NIANG,accumulation,2018-048-17057100000709,48,300331553,group,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-046-17056600000677-accumulation-pending,2018,43888,Tunisia,370575,SASSI,accumulation,2018-046-17056600000677,46,300331520,group,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-053-17058100000815-accumulation-pending,2018,43911,Mexico,329092,H. HERRERA,accumulation,2018-053-17058100000815,53,300331535,round_of_16,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-050-17057700000628-accumulation-pending,2018,43922,Argentina,182372,MASCHERANO,accumulation,2018-050-17057700000628,50,300331537,round_of_16,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-050-17057700000746-accumulation-pending,2018,43922,Argentina,266790,BANEGA,accumulation,2018-050-17057700000746,50,300331537,round_of_16,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-050-17057700001373-accumulation-pending,2018,43922,Argentina,310116,OTAMENDI,accumulation,2018-050-17057700001373,50,300331537,round_of_16,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-056-17058400000602-accumulation-pending,2018,43926,Colombia,394377,BARRIOS,accumulation,2018-056-17058400000602,56,300331542,round_of_16,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
2018-052-17058000001710-accumulation-pending,2018,43941,Denmark,318485,M. JØRGENSEN,accumulation,2018-052-17058000001710,52,300331498,round_of_16,,,,,pending,,https://inside.fifa.com/tournaments/mens/worldcup/2018russia/news/a-disciplinary-reminder-for-russia-2018,,,No later observed team match within the edition cutoff.,,,,,
